文件名,资源名称,资源版本,此版本更新时间,Mod ID,对应平台工程 ID,文件大小（字节）,文件路径
[聊动魅影] ChatImpressiveAnimation-fabric-1.4.2+mc1.21.11.jar,聊动魅影 (Chat Impressive Animation),1.4.2+mc1.21.11,2025/12/14 21:07:15,chatimpressiveanimation,DnL1AGAI,64178,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[聊动魅影] ChatImpressiveAnimation-fabric-1.4.2+mc1.21.11.jar
[落叶] fallingleaves-2.0.3+1.21.11.jar,落叶 (Falling Leaves (Fabric)),2.0.3,2025/12/12 21:22:05,fallingleaves,WhbRG4iK,181268,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[落叶] fallingleaves-2.0.3+1.21.11.jar
[模组菜单] modmenu-17.0.0-beta.2.jar,模组菜单 (Mod Menu),17.0.0-beta.2,2026/1/10 17:08:02,modmenu,mOgUt4GM,1115052,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[模组菜单] modmenu-17.0.0-beta.2.jar
[钠 · 扩展] sodium-extra-fabric-0.8.3+mc1.21.11.jar,钠 · 扩展 (Sodium Extra),0.8.3+mc1.21.11,2026/1/9 10:11:03,sodium-extra,PtjYWJkn,394219,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[钠 · 扩展] sodium-extra-fabric-0.8.3+mc1.21.11.jar
[钠] sodium-fabric-0.8.4+mc1.21.11.jar,钠 (Sodium),0.8.4+mc1.21.11,2026/1/26 7:00:51,sodium,AANobbMI,1867803,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[钠] sodium-fabric-0.8.4+mc1.21.11.jar
[实体模型特性] entity_model_features_1.21.11-fabric-3.0.11.jar,实体模型特性 (Entity Model Features),3.0.11,2026/2/1 0:06:39,entity_model_features,4I1XuqiY,503349,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[实体模型特性] entity_model_features_1.21.11-fabric-3.0.11.jar
[实体纹理特性] entity_texture_features_1.21.11-fabric-7.0.8.jar,实体纹理特性 (Entity Texture Features),7.0.8,2025/12/29 21:32:55,entity_texture_features,BVzZfTc1,729359,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[实体纹理特性] entity_texture_features_1.21.11-fabric-7.0.8.jar
[输入法冲突修复] IMBlocker-6.0.3-fabric-1.21.9+.jar,输入法冲突修复 (IMBlocker),6.0.3,2025/12/17 20:34:01,imblocker,WMDesFsZ,131290,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[输入法冲突修复] IMBlocker-6.0.3-fabric-1.21.9+.jar
[鼠标手势] MouseTweaks-fabric-mc1.21.11-2.30.jar,鼠标手势 (Mouse Tweaks),2.30,2025/12/12 15:53:41,mousetweaks,aC3cM3Vq,75618,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[鼠标手势] MouseTweaks-fabric-mc1.21.11-2.30.jar
[汤姆的简易存储] toms_storage_fabric-1.21.11-2.7.3.jar,汤姆的简易存储 (Tom's Simple Storage Mod),2.7.3,2026/1/5 1:08:33,toms_storage,XZNI4Cpy,1865551,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[汤姆的简易存储] toms_storage_fabric-1.21.11-2.7.3.jar
[铁氧体磁芯] ferritecore-8.2.0-fabric.jar,铁氧体磁芯 (FerriteCore),8.2.0,2026/1/25 22:07:55,ferritecore,uXXizFIs,80138,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[铁氧体磁芯] ferritecore-8.2.0-fabric.jar
[投影] litematica-fabric-1.21.11-0.25.4.jar,投影 (Litematica),0.25.4,2026/1/10 11:50:44,litematica,bEpr0Arc,1682415,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[投影] litematica-fabric-1.21.11-0.25.4.jar
[投影打印机] litematica-printer-1.21.11-3.2.1.jar,投影打印机 (Litematica Printer),3.2.1,2025/12/12 9:08:17,litematica_printer,3llatzyE,150561,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[投影打印机] litematica-printer-1.21.11-3.2.1.jar
[万用皮肤补丁] CustomSkinLoader_Fabric-14.27.jar,万用皮肤补丁 (CustomSkinLoader),14.27,2025/12/24 20:13:48,customskinloader,idMHQ4n2,190419,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[万用皮肤补丁] CustomSkinLoader_Fabric-14.27.jar
[文本占位符 API] placeholder-api-2.8.2+1.21.10.jar,文本占位符 API (Text Placeholder API),2.8.2+1.21.10,2026/2/2 4:30:10,placeholder-api,eXts2L7r,268662,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[文本占位符 API] placeholder-api-2.8.2+1.21.10.jar
[物理声效重制版] sound-physics-remastered-fabric-1.21.11-1.5.1.jar,物理声效重制版 (Sound Physics Remastered),1.21.11-1.5.1,2025/12/10 17:05:17,sound_physics_remastered,qyVF9oeo,203479,D:\.minecraft\versions\xiaozi craft 1.21.11 Release\mods\[物理声效重制版] sound-physics-remastered-fabric-1.21.11-1.5.1.jar
